"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Cobbler's Tools","PHB'24","220","none","Artisan's Tools","","","","","5 lb.","5 GP","Ability: DexterityUtilize: Modify footwear to give Advantage on the wearer's next Dexterity (Acrobatics) check (DC 10)Craft: Climber's KitArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Common Clothes","PHB'14","150","none","Adventuring Gear","","","","","3 lb.","5 SP",""
"Common Wine (bottle)","PHB'24","231","none","Food and Drink","","","","","","2 SP",""
"Common Wine (pitcher)","PHB'14","158","none","Food and Drink","","","","","","2 SP",""
"Component Pouch","PHB'14","151","none","Adventuring Gear","","","","","2 lb.","25 GP","A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spell's description)."
"Component Pouch","PHB'24","225","none","Adventuring Gear","","","","","2 lb.","25 GP","A Component Pouch is watertight and filled with compartments that hold all the free Material components of your spells."
"Composite Longbow","GH:PG'24","129","none","Weapon, Advanced Weapon, Ranged Weapon","","1d8 Piercing","Ammunition (Range 200/600 ft.; Arrow), Heavy, Two‑Handed","Mastery: Strong-Draw","2 lb.","750 GP","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Strong-Draw. A weapon with the Strong-Draw quality requires great strength to use. You have Disadvantage on attack rolls with a Strong-Draw weapon unless your Strength is 13 or higher. You add both your Strength and Dexterity modifiers to damage with a Strong-Draw weapon."
"Composite Shortbow","GH:PG'24","129","none","Weapon, Advanced Weapon, Ranged Weapon","","1d6 Piercing","Ammunition (Range 100/400 ft.; Arrow), Two‑Handed","Mastery: Strong-Draw","2 lb.","400 GP","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Strong-Draw. A weapon with the Strong-Draw quality requires great strength to use. You have Disadvantage on attack rolls with a Strong-Draw weapon unless your Strength is 13 or higher. You add both your Strength and Dexterity modifiers to damage with a Strong-Draw weapon."
"Concealed Blade","GH:PG'24","126","none","Advanced Equipment","","","","","2 lb.","50 GP","A Concealed Blade is a Dagger built into a mechanism hidden within a bracer or gauntlet. When you roll Initiative, you can make a Dexterity (Deception) check opposed by others' Wisdom (Perception) checks. You have Advantage on the first attack made in the first round of combat against any enemy who failed their check. Advanced Equipment[–] The brilliant engineers and crafters who designed and built Etharis's highly advanced weapons and ammunition did not stop there. Other inventions of war—and of peace—became invaluable to the soldiers, guards, and adventurers of Etharis.Some pieces of Advanced equipment, such as the corrupting Shadowsteel Focus, need special training to fully employ. Other items, like the Retractable Shield, are usable by anyone proficient with shields. And many other pieces of equipment are usable by anyone—though few would be able to afford and maintain these mechanical, alchemical, or even magical marvels.As they are expensive and difficult to make, access to Advanced equipment is limited—maybe even as limited as some magic items. The largest cities, or locations housing master crafters, may only have a few items of Advanced equipment."
"Concussion Grenade","QftIS","192","none","Explosive","","","","","","","As an action, a character can throw a grenade at a point up to 60 feet away. With a grenade launcher, the character can propel the grenade up to 120 feet away.This grenade explodes in a concussive blast that fills a 20-foot-radius sphere. Each creature in that area must make a DC 15 Dexterity saving throw, taking (6d6) force damage on a failed save or half as much damage on a successful one."
"Cook's Utensils","PHB'14","154","none","Artisan's Tools","","","","","8 lb.","1 GP","These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Adventuring is a hard life. With a cook along on the journey, your meals will be much better than the typical mix of hardtack and dried fruit. Components. Cook's utensils include a metal pot, knives, forks, a stirring spoon, and a ladle. History. Your knowledge of cooking techniques allows you to assess the social patterns involved in a culture's eating habits. Medicine. When administering treatment, you can transform medicine that is bitter or sour into a pleasing concoction. Survival. When foraging for food, you can make do with ingredients you scavenge that others would be unable to transform into nourishing meals. Prepare Meals. As part of a short rest, you can prepare a tasty meal that helps your companions regain their strength. You and up to five creatures of your choice regain 1 extra hit point per Hit Die spent during a short rest, provided you have access to your cook's utensils and sufficient food.Cook's UtensilsActivityDCCreate a typical meal10Duplicate a meal10Spot poison or impurities in food15Create a gourmet meal15See the Tool Proficiencies entry for more information."
"Cook's Utensils","PHB'24","220","none","Artisan's Tools","","","","","8 lb.","1 GP","Ability: WisdomUtilize: Improve food's flavor (DC 10), or detect spoiled or poisoned food (DC 15)Craft: RationsArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Copper","PHB'14","157","none","Trade Good","","","","","1 lb.","5 SP","Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
"Copper","DMG'24","213","none","Trade Good","","","","","1 lb.","5 SP","Merchants commonly exchange trade goods without using currency."
"Copper (cp)","PHB'14","143","none","Treasure (Coinage)","","","","","0.32 oz.","1 CP","Common coins come in several different denominations based on the relative worth of the metal from which they are made. The three most common coins are the gold piece (gp), the silver piece (sp), and the copper piece (cp).With one gold piece, a character can buy a belt pouch, 50 feet of good rope, or a goat. A skilled (but not exceptional) artisan can earn one gold piece a day. The gold piece is the standard unit of measure for wealth, even if the coin itself is not commonly used. When merchants discuss deals that involve goods or services worth hundreds or thousands of gold pieces, the transactions don't usually involve the exchange of individual coins. Rather, the gold piece is a standard measure of value, and the actual exchange is in gold bars, letters of credit, or valuable goods.One gold piece is worth ten silver pieces, the most prevalent coin among commoners. A silver piece buys a laborer's work for a day, a flask of lamp oil, or a night's rest in a poor inn.One silver piece is worth ten copper pieces, which are common among laborers and beggars. A single copper piece buys a candle, a torch, or a piece of chalk.In addition, unusual coins made of other precious metals sometimes appear in treasure hoards. The electrum piece (ep) and the platinum piece (pp) originate from fallen empires and lost kingdoms, and they sometimes arouse suspicion and skepticism when used in transactions. An electrum piece is worth five silver pieces, and a platinum piece is worth ten gold pieces.A standard coin weighs about a third of an ounce, so fifty coins weigh a pound."
"Copper Alms-Coin","GGR","9","none","Treasure (Coinage)","","","","","","1 CP",""
"Copper Zib","GGR","9","none","Treasure (Coinage)","","","","","","1 CP",""
"Copper chalice with silver filigree","DMG'14","134","none","Treasure (Art Object)","","","","","","25 GP",""
"Copper chalice with silver filigree","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Copper stein with silver filigree (Brazen Coalition)","PSX","24","none","Treasure (Art Object)","","","","","","25 GP",""
"Coral","DMG'14","134","none","Treasure (Gemstone)","","","","","","100 GP","An opaque crimson gemstone."
"Coral","DMG'24","214","none","Treasure (Gemstone)","","","","","","100 GP","A crimson gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Costume","PHB'24","225","none","Adventuring Gear","","","","","4 lb.","5 GP","While wearing a Costume, you have Advantage on any ability check you make to impersonate the person or type of person it represents."
"Costume Clothes","PHB'14","150","none","Adventuring Gear","","","","","4 lb.","5 GP",""
"Cotton Cloth (1 sq. yd.)","PHB'14","157","none","Trade Good","","","","","","5 SP","Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
"Cotton Cloth (1 sq. yd.)","DMG'24","213","none","Trade Good","","","","","","5 SP","Merchants commonly exchange trade goods without using currency."
"Covered Wagon","FRHoF","132","none","Vehicle (Land)","","","","","1300 lb.","250 GP","This vehicle is a Wagon covered by durable canvas. A creature has Three-Quarters Cover while riding inside this vehicle."
"Cow","PHB'14","157","none","Trade Good","","","","","","10 GP","Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
"Cow","DMG'24","213","none","Trade Good","","","","","","10 GP","Merchants commonly exchange trade goods without using currency."
"Crampons","IDRotF","20","none","Adventuring Gear","","","","","¼ lb.","2 GP","A crampon is a metal plate with spikes that is strapped to the sole of a boot. A creature wearing crampons can't fall prone while moving across slippery ice."
"Crog's Guide to Disarming Magic Traps","WEL","230","unknown","Adventuring Gear","","","","","","","This book describes various mundane techniques and theories related to foiling magic traps. If you spend 48 hours studying this book, you learn how to overcome certain types of magic traps with your thieves' tools.If a trap's magic can be dispelled or suppressed by a dispel magic spell, you can make a Dexterity check using thieves' tools to achieve the same result. The DC of the Dexterity check is equal to 5 + the DC required to dispel or suppress the trap with dispel magic (minimum DC 18). On a failed check, the trap triggers."
"Crossbow Bolt","PHB'14","150","none","Ammunition","","","","","1.2 oz.","5 CP",""
"Crossbow Bolt Case","PHB'14","151","none","Adventuring Gear","","","","","1 lb.","1 GP","This wooden case can hold up to twenty crossbow bolts."
"Crossbow Bolt Case","PHB'24","224","none","Adventuring Gear","","","","","1 lb.","1 GP","A Crossbow Bolt Case holds up to 20 Bolts."
"Crossbow Bolts (20)","PHB'14","150","none","Ammunition","","","","","1½ lb.","1 GP",""
"Crowbar","PHB'14","151","none","Adventuring Gear","","","","","5 lb.","2 GP","Using a crowbar grants advantage to Strength checks where the crowbar's leverage can be applied."
"Crowbar","PHB'24","225","none","Adventuring Gear","","","","","5 lb.","2 GP","Using a Crowbar gives you Advantage on Strength checks where the Crowbar's leverage can be applied."
"Crystal","MoDk","370","none","Delerium","","","","","2 lb.","1,000 GP","Delerium is a magical mineral left behind by the meteor that landed in Drakkenheim. It appears in geode clusters of translucent, sharp-edged crystals which reflect octarine light. The eldritch stones softly hum in dissonant tones, and glow brightly at night or when exposed to magic. Deposits are found throughout Drakkenheim, often fused into stone streets and buildings like crystalline moss.A typical delerium fragment is about the size of a finger. Crystals may be fist-sized or slightly larger, and geodes may be as big as a pumpkin. Massive clusters might grow taller than a human.Delerium CrystalsCrystal SizeMarket ValueWeightACHPExtraction TimeChip10 gold1/4 lbs1551 actionFragment100 gold1/2 lbs17101 minuteShard500 gold1 lbs19155 minutesCrystal1,000 gold2 lbs212030 minutesGeode5,000 gold20 lbs +23251 hourMassive ClusterPriceless8,000 lbs +25507 days Delerium Properties[–] All delerium samples have the following traits regardless of size:Immune to Necrotic, Poison, and Psychic damage; as well as Bludgeoning, Piercing, and Slashing damage from non-magical weapons.Resistant to Acid, Cold, Fire, and Lightning damage; as well as Slashing and Piercing damage from magical weapons.Vulnerable to Bludgeoning damage from magical weapons.Unless contained within an Antimagic Field, delerium shatters and crumbles into worthless ash when reduced to 0 Hit Points. However, delerium geodes release a random Arcane Anomalies when destroyed. Delerium Hazards[–] When a humanoid creature touches delerium without protective gear for the first time on their turn, or ends their turn in bodily contact with delerium, they must make a DC 10 Constitution saving throw or take 1d6 Necrotic damage and gain one level of Contamination. Delerium Harvesting[–] Delerium found in Drakkenheim is usually fused into the ground or stone buildings. It is carefully extracted using handheld mining equipment such as shovels, picks, hammers, and chisels. Consult the table to determine how long it takes characters to extract delerium. Lacking proper equipment, extraction takes ten times as long. Massive clusters are impossible to extract without heavy equipment or powerful magic. Uses for Delerium[–] Delerium has vast arcane potential. Beyond trade, crystals are used for several purposes: Spell Component. Delerium may be used as an Arcane Focus or material component for any spell on the sorcerer, warlock, or wizard spell list. When casting a spell which requires a costly material component, a spellcaster may instead use delerium of equivalent or greater value to the required cost. Magic Items. Delerium is an exceptional material for creating magical items of all kinds. Any existing magic item described in the Basic Rules could be made with delerium. Fragments, shards, crystals, and geodes may be used to make uncommon, rare, very rare, and legendary items respectively. At the GM's discretion, characters who can cast level 5 spells or higher may learn techniques to craft magic items of their own during their downtime. Stable Delerium. The process for crafting magic items with delerium renders the crystals stable. Unless otherwise specified, characters do not take damage nor risk Contamination when they touch or handle stable delerium. Stable delerium is damaged and destroyed in the same manner as a normal magic item of its kind. Delerium Dust. Delerium dust is made by grinding the crystals against one another to create a fine powder. This milling process is extraordinarily hazardous unless performed within an Antimagic Field. Delerium dust can be used in alchemy, as a spell component, a reagent for brewing potions, or mixed into inks used to scribe spell scrolls. Improvised Weapons & Ammunition. Delerium fragments may be used as ammunition for a Sling or fashioned into a makeshift Club. Such weapons and ammunition deal an extra 1d6 Necrotic damage, and humanoid creatures struck must make a DC 10 Constitution saving throw or gain one level of Contamination. Delerium used as ammunition in this way is destroyed."
"Crystal","PHB'14","151","none","Spellcasting Focus","","","","","1 lb.","10 GP","An Arcane Focus takes a specific form and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus."
"Crystal","PHB'24","224","none","Spellcasting Focus","","","","","1 lb.","10 GP","An Arcane Focus takes a specific form and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus."
"Cult of the Dragon Trinket","FRHoF","152","none","Adventuring Gear","","","","","","","Cult of the Dragon Trinkets1d6Trinket1A dragon claw pendant on a leather cord2Ashes of a dracolich in a small brass canister3A map of an unknown dragon's lair4A black pearl etched with a Draconic rune5A drop of dragon's blood preserved in amber6A scrap of purple silk"
"Cultist's Robe","HotB","19","none","Adventuring Gear","","","","","","","While wearing this occult outfit, you have Advantage on any ability check you make to impersonate a cultist in the Cult of Chaos."
"Dagger","PHB'14","149","none","Weapon, Simple Weapon, Melee Weapon","","1d4 Piercing","finesse, light, thrown (20/60 ft.)","","1 lb.","2 GP","Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Dagger","PHB'24","215","none","Weapon, Simple Weapon, Melee Weapon","","1d4 Piercing","Finesse, Light, Thrown (20/60 ft.)","Mastery: Nick","1 lb.","2 GP","Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Nick. When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn."
"Damselfly Ship","AAG","28","none","Vehicle (Space)","","Speed: 8 mphCarrying Capacity: 5 tons cargoCrew 9, AC 19, HP 200, Damage Threshold 15","","","","20,000 GP","This swift but cramped ship is made mostly of metal. It can't float on water, but its legs enable it to land safely on the ground. A sliding hatch just behind the wings allows access to the ship's mangonel turret. The ship's cargo hold can easily be turned into crew cabins or another weapon deck.Damselfly ships are often used as courier vessels and armored transports. Explorers and pirates like them because they're fast and sturdy. Military leaders use them as command ships for the same reasons.Damselfly ship owners are a proud lot, fond of painting their ships in colorful patterns as well as customizing their vessels with special equipment. Large, private gatherings of damselfly ship owners are not uncommon; they use these get-togethers to show off their ships and to race one another through asteroid belts and other obstacle courses, either for rewards or bragging rights."
"Dart","PHB'14","149","none","Weapon, Simple Weapon, Ranged Weapon","","1d4 Piercing","finesse, thrown (20/60 ft.)","","¼ lb.","5 CP","Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Dart","PHB'24","215","none","Weapon, Simple Weapon, Ranged Weapon","","1d4 Piercing","Finesse, Thrown (20/60 ft.)","Mastery: Vex","¼ lb.","5 CP","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Darts","TLotRR","74","none","Gaming Set","","","","","1½ lb.","3 C","If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set. Each type of gaming set requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a gaming set applies to one type of game, such as Three-Dragon Ante or games of chance that use dice. Components. A gaming set has all the pieces needed to play a specific game or type of game, such as a complete deck of cards or a board and tokens. History. Your mastery of a game includes knowledge of its history, as well as of important events it was connected to or prominent historical figures involved with it. Insight. Playing games with someone is a good way to gain understanding of their personality, granting you a better ability to discern their lies from their truths and read their mood. Sleight of Hand. Sleight of Hand is a useful skill for cheating at a game, as it allows you to swap pieces, palm cards, or alter a die roll. Alternatively, engrossing a target in a game by manipulating the components with dexterous movements is a great distraction for a pickpocketing attempt.Gaming SetActivityDCCatch a player cheating15Gain insight into an opponent's personality15"
"Deathdance","FRAiF","237","none","Adventuring Gear, Poison (Injury)","","","","","","200 GP","A creature subjected to Deathdance must succeed on a DC 13 Constitution saving throw or have the Poisoned condition for 1 minute. Humanoids automatically succeed on this save. The creature also has the Incapacitated condition while Poisoned in this way, as it thrashes uncontrollably."
"Deed to Addlecove Castle","WEL","200","none","Adventuring Gear","","","","","","","Submerged amid a sea of legal terms on this scroll of human skin, this deed declares that the bearer of this document is the rightful Lord of Addlecove Castle. An ancient fortress, Addlecove Castle has sat abandoned and haunted since Emperor Gaius VIII murdered the last Lord Addlecove."
"Demon Signet Ring","WEL","159","none","Ring","","","","","","","This ring shows that you have encountered a Category 6 demon and lived to tell the tale. While you wear it, you have advantage on Charisma (Intimidation) checks made to influence demons and gnolls."
"Desert Clothing","FRHoF","132","none","Adventuring Gear","","","","","4 lb.","10 GP","When you are wearing Desert Clothing and not wearing Medium or Heavy armor, you automatically succeed on saving throws against the effects of extreme heat."
"Designer Clothes","HWT","153","none","Adventuring Gear","","","","","6 lb.","30 GP","Zephyr & Co. sells garments designed by well-known tailors throughout the Wood. Each outfit costs 30 gp, twice as much as a normal set of fine clothes, and is guaranteed to allow anyone who wears it to look the part of a high-society perch dweller. Players can select which brand they would like to buy from those listed on the Designer Fashions table, or you can roll randomly to see what Zephyr & Co. has in stock.

Designer Fashions

[–]

Loading Designer Fashions..."
"Detailed, life-sized dragonborn skull cast in electrum","DMG'24","215","none","Treasure (Art Object)","","","","","","750 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Devil Mask","FRHoF","132","none","Adventuring Gear","","","","","","25 GP","While you are wearing a Devil Mask, other creatures have Disadvantage on Intelligence (Investigation) and Wisdom (Insight) checks made to discern your true identity or intentions."
"Diamond","DMG'14","134","none","Treasure (Gemstone)","","","","","","5,000 GP","A transparent blue-white, canary, pink, brown, or blue gemstone."
"Diamond","DMG'24","214","none","Treasure (Gemstone)","","","","","","5,000 GP","A blue white, canary, pink, brown, or blue gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Dice Set","PHB'14","154","none","Gaming Set","","","","","","1 SP","If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set. Each type of gaming set requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a gaming set applies to one type of game, such as Three-Dragon Ante or games of chance that use dice. Components. A gaming set has all the pieces needed to play a specific game or type of game, such as a complete deck of cards or a board and tokens. History. Your mastery of a game includes knowledge of its history, as well as of important events it was connected to or prominent historical figures involved with it. Insight. Playing games with someone is a good way to gain understanding of their personality, granting you a better ability to discern their lies from their truths and read their mood. Sleight of Hand. Sleight of Hand is a useful skill for cheating at a game, as it allows you to swap pieces, palm cards, or alter a die roll. Alternatively, engrossing a target in a game by manipulating the components with dexterous movements is a great distraction for a pickpocketing attempt.Gaming SetActivityDCCatch a player cheating15Gain insight into an opponent's personality15"
"Dice Set","PHB'24","221","none","Gaming Set","","","","","","1 SP","Ability: WisdomUtilize: Discern whether someone is cheating (DC 10), or win the game (DC 20)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Diplomat's Pack","PHB'14","151","none","Adventuring Gear","","","","","36 lb.","39 GP","Includes:a chest2 cases for maps and scrollsa set of fine clothesa bottle of inkan ink pena lamp2 flasks of oil5 sheets of papera vial of perfumesealing waxsoap"
"Diplomat's Pack","PHB'24","225","none","Adventuring Gear","","","","","39 lb.","39 GP","A Diplomat's Pack contains the following items: Chest, Fine Clothes, Ink, 5 Ink Pens, Lamp, 2 Map or Scroll Cases, 4 flasks of Oil, 5 sheets of Paper, 5 sheets of Parchment, Perfume, and Tinderbox."
"Disguise Kit","PHB'14","154","none","Tool","","","","","3 lb.","25 GP","This pouch of cosmetics, hair dye, and small props lets you create disguises that change your physical appearance. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to create a visual disguise.The perfect tool for anyone who wants to engage in trickery, a disguise kit enables its owner to adopt a false identity. Components. A disguise kit includes cosmetics, hair dye, small props, and a few pieces of clothing. Deception. In certain cases, a disguise can improve your ability to weave convincing lies. Intimidation. The right disguise can make you look more fearsome, whether you want to scare someone away by posing as a plague victim or intimidate a gang of thugs by taking the appearance of a bully. Performance. A cunning disguise can enhance an audience's enjoyment of a performance, provided the disguise is properly designed to evoke the desired reaction. Persuasion. Folk tend to trust a person in uniform. If you disguise yourself as an authority figure, your efforts to persuade others are often more effective. Create Disguise. As part of a long rest, you can create a disguise. It takes you 1 minute to don such a disguise once you have created it. You can carry only one such disguise on you at a time without drawing undue attention, unless you have a bag of holding or a similar method to keep them hidden. Each disguise weighs 1 pound.At other times, it takes 10 minutes to craft a disguise that involves moderate changes to your appearance, and 30 minutes for one that requires more extensive changes.Disguise KitActivityDCCover injuries or distinguishing marks10Spot a disguise being used by someone else15Copy a humanoid's appearance20See the Tool Proficiencies entry for more information."
"Disguise Kit","PHB'24","221","none","Tool","","","","","3 lb.","25 GP","Ability: CharismaUtilize: Apply makeup (DC 10)Craft: CostumeIf you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Dogsled","IDRotF","20","none","Vehicle (Land)","","","","","300 lb.","20 GP","An empty sled costs 20 gp, weighs 300 pounds, and has room at the back for one driver."
"Donkey","PHB'14","157","none","Mount","","Speed: 40, Carrying Capacity: 420 lb.","","","","8 GP",""
"Double Blade","GH:PG'24","128","none","Weapon, Advanced Weapon, Melee Weapon","","1d6 Slashing","Double, Momentum (1d10), Two‑Handed","Mastery: Set","5 lb.","500 GP","Double. A Double weapon functions as two Light weapons, one in each hand, for the purposes of two-weapon fighting. If a Double weapon has Reach, you can use only one of these properties per turn. Momentum. Momentum weapons allow you to deliver devastating attacks as part of rapid movement. When you hit with a Momentum weapon after you moved 20 feet or more in a straight line during the same turn, upgrade the damage dice to the weapon's Momentum Dice value. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Set. Weapons with the Set property allow you to prepare for an oncoming attack. If a target enters your reach while you wield a weapon with this property, you can use your Reaction to make a melee attack with the weapon against that target."
"Double Spear","GH:PG'24","128","none","Weapon, Advanced Weapon, Melee Weapon","","1d6 Piercing","Double, Momentum (1d10), Two‑Handed","Mastery: Set","4 lb.","500 GP","Double. A Double weapon functions as two Light weapons, one in each hand, for the purposes of two-weapon fighting. If a Double weapon has Reach, you can use only one of these properties per turn. Momentum. Momentum weapons allow you to deliver devastating attacks as part of rapid movement. When you hit with a Momentum weapon after you moved 20 feet or more in a straight line during the same turn, upgrade the damage dice to the weapon's Momentum Dice value. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Set. Weapons with the Set property allow you to prepare for an oncoming attack. If a target enters your reach while you wield a weapon with this property, you can use your Reaction to make a melee attack with the weapon against that target."
